Site,Spp_name,Max_Height,Stem_count
A,Combretum Hereroense,1.8,4
A,Fluegga Virosa,0.6,2
A,Dichrostachys Cinerea,1,3
A,Bolusanthus Speciosus,1.1,4
A,Cassia Abbreviata,1,4
A,Fluegga Virosa,0.6,1
A,Combretum Imberbe,0.8,1
A,Combretum Hereroense,3,2
A,Combretum Hereroense,3,3
A,Vachellia Nilotica,2.8,3
A,Vachellia Nilotica,2.5,1
A,Gymnosporia Senegalensis,1.5,4
A,Combretum Hereroense,2.8,3
A,Bolusanthus Speciosus,2.5,2
A,Combretum Imberbe,3,3
A,Vachellia Nilotica,3.4,3
A,Carissa Bispinosa,2,2
A,Vachellia Nilotica,1.8,1
A,Vachellia Gerrardii,2.4,2
A,Combretum Imberbe,2,3
A,Allophylus Africanus,2,2
A,Combretum Hereroense,4,5
A,Combretum Hereroense,3.5,2
A,Carissa Bispinosa,3,10
A,Dichrostachys Cinerea,2.5,6
A,Combretum Apiculatum,2,1
A,Carissa Bispinosa,3,3
A,Combretum Apiculatum,1.8,2
A,Bolusanthus Speciosus,2.5,3
