Site,Plot,Subplot,Quadrat,Spp_name,DPM Height
B,1,Z4,Q5,Eragrostis superba,6.7
B,1,Z4,Q5,,7
B,2,Z1,Q1,Brachiaria serrata,7.9
B,2,Z1,Q1,Heteropogon contortus,8.2
B,2,Z1,Q1,Aristida adscensionis,8.9
B,2,Z1,Q1,Bothriochloa insculpta,9.8
B,2,Z1,Q2,Heteropogon contortus,18.5
B,2,Z1,Q2,Cymbopogon excavatus,18.5
B,2,Z1,Q2,Aristida adscensionis,16.1
B,2,Z1,Q2,Themeda triandra,17.4
B,2,Z1,Q3,Heteropogon contortus,10.7
B,2,Z1,Q3,Cymbopogon excavatus,11
B,2,Z1,Q3,,14.8
B,2,Z1,Q3,,14.9
B,2,Z1,Q4,Heteropogon contortus,9.5
B,2,Z1,Q4,Cymbopogon excavatus,10.4
B,2,Z1,Q4,Aristida adscensionis,13.2
B,2,Z1,Q4,Eragrostis rigidior,12.3
B,2,Z1,Q5,Cymbopogon excavatus,17.1
B,2,Z1,Q5,Aristida adscensionis,17.2
B,2,Z1,Q5,Melinis repens,18.8
B,2,Z1,Q5,,15.6
B,2,Z2,Q1,Cymbopogon excavatus,16.8
B,2,Z2,Q1,Hyperrhenia filipendula,13.3
B,2,Z2,Q1,Heteropogon contortus,11
B,2,Z2,Q1,Melinis repens,22.9
B,2,Z2,Q1,Bothriochloa insculpta,
B,2,Z2,Q2,Heteropogon contortus,3.4
B,2,Z2,Q2,Melinis repens,5.7
B,2,Z2,Q2,Panicum maximum,7.4
B,2,Z2,Q2,,12
B,2,Z2,Q3,Eragrostis gummiflua,9.6
B,2,Z2,Q3,Heteropogon contortus,9.4
B,2,Z2,Q3,Cymbopogon excavatus,9.7
B,2,Z2,Q3,Bothriochloa insculpta,9.4
B,2,Z2,Q4,Eragrostis gummiflua,9.3
B,2,Z2,Q4,Heteropogon contortus,8.3
B,2,Z2,Q4,Cymbopogon excavatus,7.8
B,2,Z2,Q4,Bothriochloa insculpta,7.5
B,2,Z2,Q4,Eragrostis rigidior,
B,2,Z2,Q4,Melinis repens,
B,2,Z2,Q5,Cymbopogon excavatus,9.3
B,2,Z2,Q5,Eragrostis gummiflua,15.3
B,2,Z2,Q5,Heteropogon contortus,11
B,2,Z2,Q5,Urochloa mosambicensis,6.1
B,2,Z3,Q1,Heteropogon contortus,6.3
B,2,Z3,Q1,Aristida adscensionis,5.7
B,2,Z3,Q1,Bothriochloa insculpta,10.9
B,2,Z3,Q1,,11.1
B,2,Z3,Q2,Heteropogon contortus,2.1
B,2,Z3,Q2,Cymbopogon excavatus,4.6
B,2,Z3,Q2,,6.9
B,2,Z3,Q2,,10.6
B,2,Z3,Q3,Eragrostis gummiflua,25.2
B,2,Z3,Q3,Heteropogon contortus,24.3
B,2,Z3,Q3,Cymbopogon excavatus,24
B,2,Z3,Q3,Aristida adscensionis,28.7
B,2,Z3,Q3,Melinis repens,
B,2,Z3,Q3,Digitaria eriantha,
B,2,Z3,Q4,Heteropogon contortus,6
