Year,Site,Plot,Subplot,Fenced,Treatment,Species_name,Max_height(m),No_of_resprouts ,Length_of_ longest_ resprout_(cm),Mode_of_resprouting ,Stem_diameter_(cm),Woody_class,Dead (m)
2024,A,1,Z1,Fenced,C,Fluegga virosa,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,2,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,2,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,2,,,,,,
2024,A,1,Z1,Fenced,C,Grewia monticola,2.8,,,,,,
2024,A,1,Z1,Fenced,C,Dichrostachys cinerea,1.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Ziziphus mucronata,2.5,,,,,,
2024,A,1,Z1,Fenced,C,Rhus leptodictya,1,,,,,,
2024,A,1,Z1,Fenced,C,Rhus leptodictya,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Rhus leptodictya,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Rhus leptodictya,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Rhus leptodictya,0.3,,,,,,
2024,A,1,Z1,Fenced,C,Euclea divinorum,0.9,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1.8,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
2024,A,1,Z1,Fenced,C,Vachellia gerrardii,1,,,,,,
